,casename,whole tumor,tumor core,enhancing tumor
319,BRATS_12955,0.9495,0.9107,0.8508
320,BRATS_13108,0.9642,0.9266,0.9536
321,BRATS_13110,0.9632,0.9224,0.9583
322,BRATS_13111,0.965,0.9202,0.9509
323,BRATS_13115,0.9727,0.9324,0.9633
324,BRATS_13119,0.9569,0.9071,0.9642
325,BRATS_13286,0.9714,0.9159,0.9348
326,BRATS_13441,0.9508,0.9212,0.9
327,BRATS_13443,0.9346,0.903,0.8812
328,BRATS_13444,0.9214,0.895,0.8902
329,BRATS_13446,0.9422,0.9259,0.9314
330,BRATS_13447,0.9494,0.9339,0.9204
331,BRATS_13449,0.9548,0.9416,0.899
332,BRATS_13610,0.8805,0.8816,
333,BRATS_13613,0.898,0.895,
334,BRATS_13617,0.918,0.918,
335,BRATS_13624,0.9059,0.8967,0.8713
336,BRATS_13785,0.8832,0.8403,0.1333
337,BRATS_13945,0.9515,0.909,0.9234
338,BRATS_13946,0.9549,0.894,0.913
339,BRATS_13951,0.9308,0.8603,0.9079
340,BRATS_13963,0.9581,0.9097,0.8779
341,BRATS_14112,,,
342,BRATS_14123,0.0,0.0,
343,BRATS_14280,,,
344,BRATS_14282,,,
345,BRATS_14284,0.0,0.0,
346,BRATS_14285,0.0,0.0,
347,BRATS_14286,0.5823,0.5823,
348,BRATS_14295,0.9685,0.9639,0.8727
349,BRATS_14299,0.9701,0.9536,0.9758
350,BRATS_14450,,,
351,BRATS_14451,,,
352,BRATS_14453,,,
353,BRATS_14456,0.3393,0.3393,
354,BRATS_14460,0.8927,0.8927,
355,BRATS_14467,0.9097,0.9034,0.931
356,BRATS_14619,0.8516,0.8516,
357,BRATS_14621,0.8493,0.8493,
358,BRATS_14625,0.5,0.5,
359,BRATS_14626,0.0,0.0,
360,BRATS_14628,,,
361,BRATS_14629,,,
362,BRATS_14634,,,
363,BRATS_14784,0.9588,0.9206,0.9191
364,BRATS_14785,0.9723,0.929,0.9001
365,BRATS_14788,0.9725,0.934,0.8996
366,BRATS_14798,0.9661,0.9468,0.9203
367,BRATS_14966,0.9222,0.8768,0.9165
368,BRATS_14967,0.9272,0.8864,0.9325
369,BRATS_15120,0.7567,0.7623,0.8676
370,BRATS_15124,0.8758,0.856,0.9194
371,BRATS_15126,0.9008,0.8567,0.9045
372,BRATS_15129,0.9171,0.8507,0.9113
373,BRATS_15135,0.9236,0.8733,0.9263
374,BRATS_15137,0.9446,0.9012,0.9324
375,BRATS_15297,0.918,0.8539,0.8493
376,BRATS_15300,0.9434,0.8139,0.7679
377,BRATS_15303,0.9467,0.8588,0.8702
378,BRATS_15304,0.9484,0.8784,0.8787
379,BRATS_15306,0.946,0.8565,0.8767
380,BRATS_15458,0.6462,0.6462,
381,BRATS_15466,0.9492,0.9492,0.8866
382,BRATS_15629,0.949,0.9477,0.9277
383,BRATS_15793,,,
384,BRATS_15798,,,
385,BRATS_15799,,,
386,BRATS_15801,,,
387,BRATS_15802,,,
388,BRATS_15809,0.9115,0.9115,
389,BRATS_15969,0.9701,0.9478,0.9106
390,BRATS_15971,0.9684,0.9387,0.9242
391,BRATS_15975,0.9802,0.9504,0.9027
392,BRATS_15976,0.9779,0.9543,0.9087
393,BRATS_15979,0.974,0.9402,0.8199
394,BRATS_16134,0.9486,0.9444,0.9316
395,BRATS_16136,0.9621,0.9438,0.9381
396,BRATS_16137,0.9592,0.9326,0.8898
397,BRATS_16139,0.9784,0.9625,0.9461
398,BRATS_16145,0.9806,0.9605,0.9597
399,BRATS_16147,0.9762,0.9435,0.9648
400,BRATS_16468,0.6486,0.6486,
401,BRATS_16469,0.4857,0.4857,
402,BRATS_16471,0.7483,0.7411,0.6923
403,BRATS_16473,0.8267,0.7374,0.6984
404,BRATS_16475,0.8475,0.819,0.75
405,BRATS_16482,0.9439,0.9233,0.9318
406,BRATS_16635,0.9097,0.9182,0.9345
407,BRATS_16643,0.4906,0.4906,
408,BRATS_16645,0.0,0.0,
409,BRATS_16646,0.0,0.0,
410,BRATS_16800,0.8382,0.8296,
411,BRATS_16802,0.6899,0.6899,
412,BRATS_16803,0.8143,0.8143,
413,BRATS_16806,0.8775,0.8752,0.0
414,BRATS_16807,0.9366,0.9365,0.9718
415,BRATS_16808,0.9264,0.9263,0.9402
416,BRATS_16811,0.97,0.9705,0.9637
417,BRATS_16815,0.9705,0.9672,0.969
418,BRATS_16970,0.9562,0.9164,0.9279
419,BRATS_16971,0.9546,0.9045,0.9218
420,BRATS_16975,0.9711,0.9056,0.9143
421,BRATS_16980,0.9792,0.9088,0.9088
422,BRATS_16982,0.9792,0.9072,0.8974
423,BRATS_17138,0.8025,0.8,
424,BRATS_17144,0.7632,0.763,
425,BRATS_17147,0.7417,0.7438,
426,BRATS_17148,0.7666,0.77,
427,BRATS_17151,0.8052,0.8052,
428,BRATS_17152,0.7713,0.7696,
429,BRATS_17309,0.4828,0.4828,
430,BRATS_17312,0.8293,0.8293,
431,BRATS_17316,0.7213,0.7241,
432,BRATS_17317,0.7727,0.7229,
433,BRATS_17472,0.9456,0.8858,0.9661
434,BRATS_17480,0.9211,0.8773,0.9041
435,BRATS_17485,0.9316,0.8975,0.7895
436,BRATS_17487,0.9215,0.9079,0.0
437,BRATS_17489,0.9305,0.9313,
438,BRATS_17645,0.8814,0.8393,0.8675
439,BRATS_17646,0.9028,0.8677,0.8941
440,BRATS_17647,0.8877,0.8441,0.907
441,BRATS_17649,0.9065,0.8377,0.8
442,BRATS_17650,0.8996,0.824,0.8684
443,BRATS_17656,0.8182,0.8182,
444,BRATS_17812,0.8287,0.8287,
445,BRATS_17817,0.899,0.899,
446,BRATS_17818,0.865,0.865,
447,BRATS_17820,0.8701,0.8701,
448,BRATS_17977,0.9673,0.8582,0.8056
449,BRATS_17978,0.9521,0.8154,0.7851
450,BRATS_17981,0.9468,0.8438,0.8473
451,BRATS_17985,0.9373,0.836,0.8667
452,BRATS_17990,0.9283,0.8447,0.8548
453,BRATS_17992,0.8986,0.8228,0.8481
454,BRATS_17993,0.8699,0.8056,0.8016
455,BRATS_17995,0.7398,0.7171,0.7838
456,BRATS_18162,0.9724,0.859,0.7766
457,BRATS_18318,0.9279,0.9149,0.9222
458,BRATS_18322,0.9165,0.9156,0.5946
459,BRATS_18324,0.9291,0.9291,
460,BRATS_18327,0.8732,0.8732,
461,BRATS_18331,0.6383,0.6383,
462,BRATS_18490,0.6,0.6,
463,BRATS_18491,0.0,0.0,
464,BRATS_18492,,,
465,BRATS_18499,,,
466,BRATS_18653,0.8712,0.8189,0.9048
467,BRATS_18655,0.8516,0.8099,0.8846
468,BRATS_18660,0.8548,0.8379,0.9071
469,BRATS_18666,0.7434,0.7555,0.7458
470,BRATS_18667,0.6047,0.6047,
471,BRATS_18816,0.9137,0.8747,0.9006
472,BRATS_18824,0.916,0.8875,0.8955
473,BRATS_18828,0.8867,0.8703,0.9306
474,BRATS_18985,0.9535,0.9535,
475,BRATS_18992,0.9477,0.9439,0.976
476,BRATS_18994,0.9424,0.9418,0.9771
477,BRATS_18999,0.952,0.9481,0.9716
478,BRATS_19002,0.9567,0.9325,0.9136
479,BRATS_19162,0.951,0.9274,0.8753
480,BRATS_19167,0.956,0.9424,0.9358
481,BRATS_19169,0.9523,0.9347,0.9145
482,BRATS_19332,0.9678,0.9678,0.0
483,BRATS_19335,0.9483,0.9483,
484,BRATS_19493,0.7726,0.7726,
485,BRATS_19495,0.0,0.0,
486,BRATS_19660,,,
487,BRATS_19672,0.8493,0.7959,0.8571
488,BRATS_19675,0.9021,0.8563,0.8866
489,BRATS_19824,0.8936,0.8856,0.961
490,BRATS_19827,0.9364,0.9205,0.9642
491,BRATS_19829,0.9286,0.9151,0.9814
492,BRATS_19838,0.9495,0.9328,0.9803
493,BRATS_20163,0.8577,0.8577,0.7273
494,BRATS_20166,0.8701,0.8668,0.8062
495,BRATS_20167,0.8838,0.8823,0.9028
496,BRATS_20171,0.9079,0.9059,0.9318
497,BRATS_20175,0.923,0.92,0.9691
498,BRATS_20177,0.9375,0.9304,0.9701
499,BRATS_20328,0.8576,0.8478,0.8692
500,BRATS_20329,0.8889,0.8806,0.8789
501,BRATS_20339,0.8405,0.8435,
502,BRATS_20340,0.8176,0.8215,
503,BRATS_20343,0.7844,0.7836,
504,BRATS_20496,,,
505,BRATS_20498,,,
506,BRATS_20512,0.8861,0.8861,
507,BRATS_20513,0.885,0.8869,
508,BRATS_20666,0.9362,0.9028,0.8317
509,BRATS_20669,0.9154,0.9028,0.809
510,BRATS_20674,0.9023,0.9023,
511,BRATS_20678,0.8928,0.8928,
512,BRATS_20838,0.9476,0.9458,0.9267
513,BRATS_20843,0.9155,0.9145,0.9752
514,BRATS_20847,0.9068,0.9034,0.9537
515,BRATS_20849,0.908,0.9032,0.9359
516,BRATS_21009,0.9208,0.9208,
517,BRATS_21017,0.8452,0.8526,0.4615
518,BRATS_21018,0.8598,0.8658,0.9189
519,BRATS_21348,,,
520,BRATS_21515,0.9618,0.9091,0.8699
521,BRATS_21676,0.7823,0.7974,0.7598
522,BRATS_21679,0.8581,0.7987,0.7989
523,BRATS_21681,0.934,0.8071,0.8376
524,BRATS_21688,0.9549,0.8715,0.8653
525,BRATS_21690,0.9327,0.8242,0.8155
526,BRATS_21842,0.2581,0.2581,
527,BRATS_21854,0.894,0.8867,0.6667
528,BRATS_21857,0.9072,0.8954,0.8936
529,BRATS_22011,0.9315,0.8881,0.8565
530,BRATS_22020,0.8704,0.8392,0.8381
531,BRATS_22021,0.8897,0.8549,0.8592
532,BRATS_22025,0.9091,0.8831,0.8745
533,BRATS_22027,0.8851,0.8577,0.9145
534,BRATS_22181,0.6526,0.6526,
535,BRATS_22350,0.9167,0.8766,0.8661
536,BRATS_22351,0.9345,0.9042,0.8782
537,BRATS_22361,0.9555,0.9034,0.9075
538,BRATS_22363,0.9618,0.913,0.8966
539,BRATS_22512,0.9263,0.8488,
540,BRATS_22520,0.9479,0.8789,0.8374
541,BRATS_22524,0.9532,0.9037,0.9204
542,BRATS_22530,0.963,0.9126,0.9608
543,BRATS_22680,0.9671,0.9082,0.9095
544,BRATS_22681,0.9812,0.9259,0.9108
545,BRATS_22697,0.9683,0.9168,0.9149
546,BRATS_22850,,,
547,BRATS_22852,,,
548,BRATS_22858,0.0,0.0,
549,BRATS_22863,0.9238,0.9238,
550,BRATS_22866,0.9403,0.9403,
551,BRATS_23018,0.9405,0.9169,0.9782
552,BRATS_23026,0.9333,0.915,0.9624
553,BRATS_23029,0.9397,0.9275,0.9757
554,BRATS_23033,0.9175,0.8993,0.9618
555,BRATS_23035,0.9072,0.8989,0.9682
556,BRATS_23193,0.9529,0.9155,0.913
557,BRATS_23196,0.9366,0.8982,0.9173
558,BRATS_23353,0.9442,0.9147,0.9529
559,BRATS_23358,0.9481,0.9189,0.9562
560,BRATS_23359,0.9365,0.906,0.9571
561,BRATS_23361,0.9333,0.9108,0.9624
562,BRATS_23362,0.9305,0.913,0.9688
563,BRATS_23366,0.9419,0.9302,0.9675
564,BRATS_23370,0.9426,0.9405,0.9781
565,BRATS_23521,0.9743,0.9652,0.9762
566,BRATS_23531,0.9752,0.9673,0.981
567,BRATS_23533,0.9742,0.968,0.9628
568,BRATS_23691,0.9683,0.9306,0.9747
569,BRATS_23693,0.9721,0.9428,0.9598
570,BRATS_23695,0.9618,0.905,0.9244
571,BRATS_23700,0.9192,0.9035,0.7803
572,BRATS_23701,0.8856,0.8521,0.9231
573,BRATS_23703,0.8327,0.8273,0.9565
574,BRATS_23860,,,
575,BRATS_23862,,,
576,BRATS_23864,,,
577,BRATS_24029,0.6316,0.6316,
578,BRATS_24036,0.8996,0.8241,0.8261
579,BRATS_24039,0.9531,0.9254,0.8421
580,BRATS_24194,0.955,0.8131,0.7441
581,BRATS_24200,0.9571,0.8849,0.8187
582,BRATS_24206,0.9071,0.8967,0.0
583,BRATS_24211,0.8738,0.8738,
584,BRATS_24362,0.6444,0.6444,
585,BRATS_24370,0.9465,0.9321,0.9574
586,BRATS_24379,0.9432,0.9293,0.9533
587,BRATS_24529,0.9742,0.9404,0.9484
588,BRATS_24543,0.9743,0.9279,0.9217
589,BRATS_24699,0.8204,0.8204,
590,BRATS_24704,0.8257,0.8257,
591,BRATS_24715,,,
592,BRATS_24864,0.9294,0.8319,0.8661
593,BRATS_24865,0.9637,0.8878,0.9268
594,BRATS_24872,0.9721,0.89,0.9301
595,BRATS_24879,0.9776,0.9461,0.9874
596,BRATS_24883,0.9383,0.9217,0.971
597,BRATS_25032,0.944,0.914,0.9146
598,BRATS_25033,0.9426,0.9215,0.9485
599,BRATS_25035,0.9309,0.9183,0.9719
600,BRATS_25042,0.9577,0.9545,0.9797
601,BRATS_25046,0.9579,0.957,0.9744
602,BRATS_25051,0.9361,0.9318,0.95
603,BRATS_25201,0.9231,0.877,0.9245
604,BRATS_25202,0.9181,0.8667,0.9052
605,BRATS_25203,0.9282,0.8748,0.9087
606,BRATS_25209,0.9204,0.8832,0.9324
607,BRATS_25219,0.7958,0.7908,0.0
608,BRATS_25368,,,
609,BRATS_25373,,,
610,BRATS_25374,,,
611,BRATS_25375,0.0,0.0,
612,BRATS_25377,0.0,0.0,
613,BRATS_25378,0.0,0.0,
614,BRATS_25539,0.9685,0.9523,0.9567
615,BRATS_25543,0.9651,0.9534,0.9545
616,BRATS_25544,0.9715,0.9583,0.9353
617,BRATS_25707,0.7222,0.6981,
618,BRATS_25711,0.7596,0.7596,
619,BRATS_25717,0.8193,0.7831,0.7255
620,BRATS_25872,0.9448,0.8937,0.8135
621,BRATS_25873,0.949,0.8899,0.8232
622,BRATS_25878,0.9633,0.9241,0.9172
623,BRATS_25880,0.9584,0.9236,0.9004
624,BRATS_25881,0.9584,0.919,0.9057
625,BRATS_25883,0.9625,0.9043,0.8614
626,BRATS_26208,,,
627,BRATS_26210,,,
628,BRATS_26221,,,
629,BRATS_26382,0.9529,0.9529,
630,BRATS_26393,0.9636,0.9636,
631,BRATS_26395,0.95,0.95,
632,BRATS_26544,0.91,0.8322,0.955
633,BRATS_26554,0.9252,0.8959,0.9915
634,BRATS_26557,0.8214,0.8072,0.908
635,BRATS_26560,0.8418,0.8029,0.9263
636,BRATS_26563,0.8983,0.8414,0.9437
637,BRATS_26715,0.9046,0.9083,0.8615
638,BRATS_26716,0.8571,0.8571,0.7805
639,BRATS_26728,,,
640,BRATS_26729,,,
641,BRATS_26883,0.6366,0.6402,
642,BRATS_26887,0.6738,0.6738,
643,BRATS_26891,0.48,0.48,
644,BRATS_27049,0.9591,0.935,0.9288
645,BRATS_27052,0.963,0.933,0.9326
646,BRATS_27053,0.9648,0.9365,0.9057
647,BRATS_27057,0.9547,0.9385,0.9501
648,BRATS_27065,0.9489,0.9464,0.9108
649,BRATS_27067,0.8674,0.8674,0.75
650,BRATS_27220,0.9777,0.9718,0.9488
651,BRATS_27227,0.9617,0.9585,0.966
652,BRATS_27392,0.0,0.0,
653,BRATS_27397,0.3662,0.3662,0.0
654,BRATS_27400,0.7675,0.7716,0.8539
655,BRATS_27401,0.7761,0.778,0.8856
656,BRATS_27403,0.7424,0.7333,0.9277
657,BRATS_27553,0.8067,0.8067,
658,BRATS_27556,0.8717,0.8717,
659,BRATS_27557,0.8589,0.8589,
660,BRATS_27558,0.8745,0.8745,
661,BRATS_27565,0.9232,0.9232,
662,BRATS_27567,0.9307,0.9105,
663,BRATS_27720,0.8469,0.7938,0.78
664,BRATS_27727,0.8582,0.8582,
665,BRATS_27728,0.8679,0.8679,
666,BRATS_27895,0.9011,0.8825,0.8889
667,BRATS_27906,0.853,0.858,
668,BRATS_27907,0.8213,0.8244,
669,BRATS_28057,0.9802,0.8792,0.7895
670,BRATS_28067,0.9829,0.8849,0.8506
671,BRATS_28072,0.9844,0.8808,0.8906
672,mean,0.854,0.8314,0.8411
673,median,0.9272,0.895,0.9095
674,mean (nan is 1),0.8729,0.8532,0.8976
675,median (nan is 1),0.9406,0.9059,0.95
